"","recordID","survivorShip","gender","productType","issueDate","matDate","birthDate","currentDate","baseFee","riderFee","rollUpRate","gbAmt","gmwbBalance","wbWithdrawalRate","withdrawal","FundValue1","FundValue2","FundValue3","FundValue4","FundValue5","FundValue6","FundValue7","FundValue8","FundValue9","FundValue10","FundNum1","FundNum2","FundNum3","FundNum4","FundNum5","FundNum6","FundNum7","FundNum8","FundNum9","FundNum10","FundFee1","FundFee2","FundFee3","FundFee4","FundFee5","FundFee6","FundFee7","FundFee8","FundFee9","FundFee10","age","ttm","fmv","Delta1","Delta2","Delta3","Delta4","Delta5","Rho1y","Rho2y","Rho3y","Rho4y","Rho5y","Rho7y","Rho10y","Rho30y"
"75",75,1,"F","ABRP",37288,46419,24746,41791,0.02,0.005,0,271411.311606,0,0,0,28427.726346,0,18431.445511,12666.804333,26286.411506,29517.973123,23141.991639,19758.410745,0,23420.26365,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,46.6986301369863,12.6794520547945,47447.117199,-40039.29465,-9088.53725,-18981.4911,-17202.39555,-23273.84955,0.372987,1.472526,1.698972,2.09133,4.109877,10.034605,-92.159473,-195.873886
"101",101,1,"M","ABRP",41153,50284,24929,41791,0.02,0.005,0,398757.132807,0,0,0,49665.398411,49849.955089,44726.658136,33220.960022,38142.559584,49782.57754,47192.757207,40710.370222,46292.790203,42749.046856,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,46.1972602739726,23.2684931506849,-10095.45919,-22765.4218,-13222.9022,-17484.1732,-15416.2606,-14814.0493,0.247418,0.835856,1.013724,1.269869,2.472651,5.997559,33.027736,-268.111435
"320",320,1,"M","ABRP",40422,49919,22282,41791,0.02,0.005,0,125572.423678,0,0,0,19404.07779,18209.310481,12461.801886,9826.634325,12416.881032,18957.09056,15603.457896,13925.20496,0,14178.304111,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,53.4493150684931,22.2684931506849,-3151.128941,-7880.70685,-3921.96095,-3749.89715,-4485.54255,-4414.6047,0.068904,0.23648,0.285341,0.356837,0.695186,1.687181,6.849368,-71.808526
"490",490,1,"F","ABRP",37408,45444,22494,41791,0.02,0.005,0,362221.57901,0,0,0,35227.246455,34350.370321,20240.242297,14037.125919,28732.722961,35259.492347,26974.789756,23104.234326,24125.766134,26493.219355,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,52.8684931506849,10.0082191780822,63213.256148,-49084.4342,-32225.6662,-31333.54455,-20014.43095,-25670.67005,0.480465,1.992737,2.265427,2.772904,5.466497,13.37657,-183.856806,-155.94505
"504",504,1,"M","ABRP",38899,48761,27820,41791,0.02,0.005,0,371945.965061,0,0,0,35957.044061,32952.273073,18854.475318,20879.921975,31259.084351,34936.228904,26242.135979,28193.518319,22567.727692,28231.691243,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,38.2767123287671,19.0958904109589,34840.260325,-33687.2442,-19342.7868,-19438.2492,-18904.4765,-21174.5601,0.426498,1.538519,1.826218,2.271191,4.439029,10.79473,-7.087977,-368.880879
"593",593,1,"F","ABRP",38596,45536,28004,41791,0.02,0.005,0,180797.672378,0,0,0,17180.811731,15582.341098,9561.559407,9283.301173,15230.051381,16639.26224,12926.143147,12999.95342,11216.816961,13503.404187,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,37.772602739726,10.2602739726027,33622.566006,-24049.3804,-14467.32605,-14645.3393,-12464.25115,-14440.95405,0.260348,1.049813,1.20342,1.477675,2.908143,7.109041,-79.677173,-113.744758
"958",958,1,"M","ABRP",40603,49735,20363,41791,0.02,0.005,0,436788.276659,0,0,0,53237.197419,47086.891665,37084.147067,32995.862885,39072.037098,50774.196199,44566.012971,42215.438943,39971.486203,41739.891231,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,58.7068493150685,21.7643835616438,-6723.126063,-23416.35505,-13275.5999,-15730.49315,-14198.3084,-13279.5903,0.225688,0.790411,0.946905,1.181312,2.304802,5.599782,11.062608,-216.807893
"1035",1035,1,"M","ABRP",37622,45658,25569,41791,0.02,0.005,0,162066.536909,0,0,0,23274.283907,24734.362432,14532.606883,7891.922128,16037.80565,24076.559866,0,0,17322.70835,16854.646484,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,44.4438356164384,10.5945205479452,15137.174192,-17183.016,-16282.05055,-12572.1982,-6144.367,-12266.03635,0.187232,0.74504,0.857564,1.054576,2.073408,5.064238,-50.258939,-92.111078
"1352",1352,1,"F","ABRP",40817,48853,25903,41791,0.02,0.005,0,380840.177371,0,0,0,51433.851713,49643.579051,39130.32154,29503.765934,35168.809539,50767.353735,44975.412217,39104.154962,42147.181279,40354.013586,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,43.5287671232877,19.3479452054795,-2369.077575,-26131.07865,-14574.1868,-18372.7165,-16768.95895,-16344.7689,0.293142,1.004739,1.213884,1.518671,2.958586,7.174484,31.483196,-307.293865
"1396",1396,1,"M","ABRP",41609,47818,24898,41791,0.02,0.005,0,364172.935187,0,0,0,37931.418694,36228.753486,36162.113209,35996.742027,36214.420931,37257.280067,37039.614828,36973.686769,36199.696068,36532.606146,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,46.2821917808219,16.5123287671233,4398.042449,-26060.08035,-14703.24605,-20367.19025,-21259.9877,-18565.61085,0.306055,1.101633,1.307935,1.627696,3.182267,7.739936,-3.670615,-267.883591
"1399",1399,1,"F","ABRP",38565,48792,27699,41791,0.02,0.005,0,186547.34558,0,0,0,19774.249773,17809.39892,11361.606043,10499.654992,17495.595763,19097.477126,15118.868773,14832.556959,13176.03004,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,38.6082191780822,19.1808219178082,19205.616358,-17499.4249,-9462.40135,-10160.46005,-8679.87985,-10866.61165,0.221873,0.796098,0.946526,1.177871,2.301531,5.595254,-1.253341,-195.499993
"1477",1477,1,"F","ABRP",39114,48611,19756,41791,0.02,0.005,0,141773.592707,0,0,0,12701.940808,11488.073055,6559.591677,8099.888461,11637.563652,12274.479875,9197.32264,10433.282033,7855.067346,10205.57711,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,60.3698630136986,18.6849315068493,12062.942494,-11557.07045,-6719.88145,-6635.28015,-6495.3837,-6901.60645,0.138477,0.511108,0.602329,0.746854,1.461744,3.557949,-10.329223,-108.109049
"1701",1701,1,"F","ABRP",39114,45323,19572,41791,0.02,0.005,0,124687.185564,0,0,0,12412.351116,11226.158157,6410.040506,7915.220288,11372.240539,0,8987.634225,10195.415161,7675.980814,9972.901649,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,60.8739726027397,9.67671232876712,25014.620214,-14654.31765,-8691.80315,-10800.47395,-10176.3577,-10378.47535,0.165091,0.701606,0.792162,0.967399,1.909492,0.077285,-63.972631,-45.956831
"2075",2075,1,"F","ABRP",39417,48549,25324,41791,0.02,0.005,0,171328.173699,0,0,0,17270.734409,17226.393847,8950.664704,11402.214662,15532.329379,17347.875588,12522.61554,14416.108322,0,14181.838364,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,45.1150684931507,18.5150684931507,15840.185566,-16665.38675,-8804.49285,-6961.78115,-10112.26065,-10668.31595,0.197953,0.717253,0.85009,1.056459,2.065085,5.021511,-5.54106,-167.808255
"2222",2222,1,"F","ABRP",37012,43952,24807,41791,0.02,0.005,0,204204.203635,0,0,0,20443.070874,22959.210469,12217.123385,0,22286.834228,21711.063495,15989.803833,0,0,17903.571032,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,46.5315068493151,5.92054794520548,65221.128982,-33286.56685,-24016.18155,-17868.5784,-2940.59285,-26994.6834,0.25537,1.30784,1.404715,1.681444,-32.475488,-46.532447,21.212271,-147.721958
