,recordID,gender,productType,ttm,age,AV,gbAmt,wbWithdrawalRate,fmv
89,90,F,GMLB,6.838356164383562,51.868493150684934,311979.097238,445883.308467,0.0,69990.943241
3545,3554,M,GMLB,6.33972602739726,37.35342465753425,316839.670865,449939.086993,0.0,100219.424507
3821,3831,M,GMLB,5.838356164383562,49.28493150684932,193190.548275,312906.015283,0.0,9567.819141
4683,4695,M,GMLB,12.756164383561643,52.035616438356165,254569.55401199998,379532.39911,0.0,28626.187187
5248,5260,M,GMLB,17.01095890410959,50.032876712328765,157046.91746700002,148122.3713,0.0,817.826495
5721,5733,M,GMLB,19.76164383561644,63.70958904109589,46398.551003,72623.44329299999,0.0,22898.052827
6618,6632,M,GMLB,14.512328767123288,36.276712328767125,295848.904364,419523.29285100003,0.0,1254.439814
10255,10274,M,GMLB,8.506849315068493,37.772602739726025,280085.172463,555475.937523,0.0,17969.034177
11287,11306,F,GMLB,4.336986301369863,43.03013698630137,240260.66336200002,852960.471539,0.0,159527.472587
12711,12736,M,GMLB,9.923287671232877,38.86027397260274,305242.254087,363443.956436,0.0,-4269.902249
13326,13353,M,GMLB,7.676712328767123,47.95068493150685,238499.560592,537846.889752,0.0,-2815.8610559999997
13508,13536,F,GMLB,10.342465753424657,45.28219178082192,97966.73734999998,212219.80147,0.0,-17895.990859
13956,13984,F,GMLB,6.7534246575342465,63.21095890410959,38988.249888,86925.769547,0.0,54207.473024
15849,15881,F,GMLB,12.427397260273972,55.205479452054796,40601.810678,90835.749347,0.0,93454.12816000001
21485,21525,M,GMLB,18.515068493150686,40.11232876712329,333785.906004,450182.501565,0.0,-17004.479190000002
21495,21535,M,GMLB,9.756164383561643,40.608219178082194,162639.82843099997,228597.698529,0.0,-9043.890528
21745,21788,M,GMLB,22.84931506849315,47.032876712328765,320245.526424,291045.353256,0.0,-4310.98436
21967,22012,M,GMLB,8.424657534246576,43.6958904109589,169323.10969699998,247936.744056,0.0,-10353.207264
22729,22775,M,GMLB,10.09041095890411,53.95342465753425,36846.40797,79971.323441,0.0,404018.49675
23152,23200,M,GMLB,6.33972602739726,51.868493150684934,263569.688886,270435.579587,0.0,92950.08932300001
23587,23635,M,GMLB,11.923287671232877,52.61643835616438,280325.753662,340590.259449,0.0,101665.30430599999
24089,24138,M,GMLB,14.43013698630137,40.11232876712329,341537.11053699994,467886.574214,0.0,1141214.577512
24474,24523,F,GMLB,24.764383561643836,62.293150684931504,191158.11547999998,250677.35221500002,0.0,442245.472421
27892,27944,M,GMLB,7.506849315068493,49.28493150684932,128613.361457,178320.18881300002,0.0,53472.59442
28479,28533,M,GMLB,5.673972602739726,44.03013698630137,197159.29563900002,308215.357971,0.0,-2464.5868769999997
29126,29181,F,GMLB,8.424657534246576,36.35342465753425,310857.098993,440196.124597,0.0,119770.051789
29258,29313,F,GMLB,17.01095890410959,36.69041095890411,128780.998651,167720.17745999998,0.0,14961.155882
29674,29730,M,GMLB,17.512328767123286,43.6958904109589,146200.880627,166316.001848,0.0,164259.94269
29811,29867,M,GMLB,7.506849315068493,47.865753424657534,276249.924061,452220.15222600003,0.0,38957.21856
30783,30843,F,mix,15.345205479452055,62.70958904109589,317754.921247,424086.198878,0.0,69854.589524
30798,30858,F,mix,22.435616438356163,59.293150684931504,177826.057783,266550.695261,0.0,947.1632810000001
32134,32197,M,mix,17.76164383561644,37.942465753424656,274908.194242,283915.001669,0.0,-1184.707838
32683,32748,M,mix,14.512328767123288,43.03013698630137,248642.09933799997,368336.584969,0.0,56446.032039
33728,33793,F,mix,18.76164383561644,55.29041095890411,409530.35648,427002.856852,0.0,-7267.1787540000005
33773,33838,M,mix,9.424657534246576,55.29041095890411,187534.59057600002,270285.529357,0.0,-1511.335072
34055,34120,M,mix,16.512328767123286,36.02465753424657,310951.104757,312118.365448,0.0,90126.348607
35753,35820,M,mix,15.093150684931507,58.62191780821918,262015.757391,355099.26646199997,0.0,12040.223779
37454,37523,F,mix,18.684931506849313,60.95890410958904,76924.439743,112313.34708699999,0.0,94776.64673400001
38279,38348,F,mix,13.342465753424657,46.6986301369863,39893.563705,57386.839780999995,0.0,11232.077787999999
39328,39398,F,mix,13.342465753424657,63.37260273972603,134619.263537,129950.626397,0.0,-1159.459358
